id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name
http://www.wikidata.org/entity/Q210844,Spore,god game,SoftClub,Everyone 10+,,Spore (2008 video game)
http://www.wikidata.org/entity/Q210844,Spore,life simulation game,SoftClub,Everyone 10+,,Spore (2008 video game)
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron,first-person shooter,LucasArts,,,Star Wars Battlefront: Renegade Squadron
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron,third-person shooter,LucasArts,,,Star Wars Battlefront: Renegade Squadron
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II,first-person shooter,LucasArts,Teen,"Star Wars Battlefront 2, Star Wars Battlefront II, Star Wars: Battlefront 2",Star Wars: Battlefront II (2005 video game)
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II,third-person shooter,LucasArts,Teen,"Star Wars Battlefront 2, Star Wars Battlefront II, Star Wars: Battlefront 2",Star Wars: Battlefront II (2005 video game)
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron,third-person shooter,LucasArts,,,Star Wars Battlefront: Elite Squadron
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,action-adventure game,"Activision Publishing, Inc.",Everyone 10+,Lego Star Wars: TCS,Lego Star Wars: The Complete Saga
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,action-adventure game,LucasArts,Everyone 10+,Lego Star Wars: TCS,Lego Star Wars: The Complete Saga
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,action-adventure game,Feral Interactive,Everyone 10+,Lego Star Wars: TCS,Lego Star Wars: The Complete Saga
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,action-adventure game,Eidos Interactive,Everyone,,Lego Star Wars: The Video Game
http://www.wikidata.org/entity/Q55217,Star Wars Episode I: Racer,racing video game,LucasArts,Everyone,"STAR WARS -EPISODE I- RACER, Star Wars: Episode I Racer, Star Wars: Episode I: Racer",Star Wars Episode I: Racer
http://www.wikidata.org/entity/Q55219,Star Wars: Bounty Hunter,action game,LucasArts,,Star Wars: Bounty hunter,Star Wars: Bounty Hunter
http://www.wikidata.org/entity/Q55223,Star Wars: Racer Arcade,racing video game,LucasArts,,,Star Wars: Racer Arcade
http://www.wikidata.org/entity/Q55225,Star Wars: Starfighter,action game,LucasArts,Teen,,Star Wars: Starfighter
http://www.wikidata.org/entity/Q55227,Star Wars: Super Bombad Racing,racing video game,LucasArts,,,Star Wars: Super Bombad Racing
http://www.wikidata.org/entity/Q147789,Dizzy – The Ultimate Cartoon Adventure,platform game,Codemasters,,,Dizzy – The Ultimate Cartoon Adventure
http://www.wikidata.org/entity/Q147789,Dizzy – The Ultimate Cartoon Adventure,Metroidvania,Codemasters,,,Dizzy – The Ultimate Cartoon Adventure
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,action-adventure game,Capcom,Mature 17+,"GTA 3, GTA III",Grand Theft Auto III
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,open world,Capcom,Mature 17+,"GTA 3, GTA III",Grand Theft Auto III
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,video game with LGBT character,Capcom,Mature 17+,"GTA 3, GTA III",Grand Theft Auto III
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,action-adventure game,Rockstar Games,Mature 17+,"GTA 3, GTA III",Grand Theft Auto III
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,open world,Rockstar Games,Mature 17+,"GTA 3, GTA III",Grand Theft Auto III
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,video game with LGBT character,Rockstar Games,Mature 17+,"GTA 3, GTA III",Grand Theft Auto III
http://www.wikidata.org/entity/Q149612,Tron,action game,Midway Games,Everyone,,Tron (video game)
http://www.wikidata.org/entity/Q149998,Paper Mario,role-playing video game,Nintendo,Everyone,"Mario Story, Super Mario RPG 2",Paper Mario
http://www.wikidata.org/entity/Q149998,Paper Mario,platform game,Nintendo,Everyone,"Mario Story, Super Mario RPG 2",Paper Mario
http://www.wikidata.org/entity/Q2387,Commandos 2: Men of Courage,real-time tactics,Eidos Interactive,Teen,,Commandos 2: Men of Courage
http://www.wikidata.org/entity/Q2440,Freedom Force vs the 3rd Reich,tactical role-playing game,Electronic Arts,,Freedom Force vs. The 3rd Reich,Freedom Force vs the 3rd Reich
http://www.wikidata.org/entity/Q2440,Freedom Force vs the 3rd Reich,real-time tactics,Electronic Arts,,Freedom Force vs. The 3rd Reich,Freedom Force vs the 3rd Reich
http://www.wikidata.org/entity/Q2450,Heroes of Might and Magic V,role-playing video game,Ubisoft,Teen,"Heroes V, HoMM5",Heroes of Might and Magic V
http://www.wikidata.org/entity/Q2450,Heroes of Might and Magic V,turn-based strategy video game,Ubisoft,Teen,"Heroes V, HoMM5",Heroes of Might and Magic V
http://www.wikidata.org/entity/Q4104,Need for Speed: Shift,racing video game,Electronic Arts,Teen,,Need for Speed: Shift
http://www.wikidata.org/entity/Q5766,VVVVVV,puzzle video game,Valve Corporation,,Viridian,VVVVVV
http://www.wikidata.org/entity/Q5766,VVVVVV,Metroidvania,Valve Corporation,,Viridian,VVVVVV
http://www.wikidata.org/entity/Q5766,VVVVVV,puzzle video game,Nicalis,,Viridian,VVVVVV
http://www.wikidata.org/entity/Q5766,VVVVVV,Metroidvania,Nicalis,,Viridian,VVVVVV
http://www.wikidata.org/entity/Q8529,100 Bullets,action game,Acclaim Entertainment,,,100 Bullets (video game)
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,action-adventure game,Rockstar Games,Mature 17+,"GTA, Grand Theft Auto 1, GTA 1",Grand Theft Auto (video game)
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,open world,Rockstar Games,Mature 17+,"GTA, Grand Theft Auto 1, GTA 1",Grand Theft Auto (video game)
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,action-adventure game,ASC Games,Mature 17+,"GTA, Grand Theft Auto 1, GTA 1",Grand Theft Auto (video game)
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,open world,ASC Games,Mature 17+,"GTA, Grand Theft Auto 1, GTA 1",Grand Theft Auto (video game)
http://www.wikidata.org/entity/Q94640,Grand Theft Auto: Vice City Stories,action-adventure game,Rockstar Games,Mature 17+,"Grand Theft Auto VCS, Grand Theft Auto: VCS, GTA VCS, GTA Vice City Stories, GTA: VCS, GTA: Vice City Stories",Grand Theft Auto: Vice City Stories
http://www.wikidata.org/entity/Q94640,Grand Theft Auto: Vice City Stories,open world,Rockstar Games,Mature 17+,"Grand Theft Auto VCS, Grand Theft Auto: VCS, GTA VCS, GTA Vice City Stories, GTA: VCS, GTA: Vice City Stories",Grand Theft Auto: Vice City Stories
http://www.wikidata.org/entity/Q94640,Grand Theft Auto: Vice City Stories,video game with LGBT character,Rockstar Games,Mature 17+,"Grand Theft Auto VCS, Grand Theft Auto: VCS, GTA VCS, GTA Vice City Stories, GTA: VCS, GTA: Vice City Stories",Grand Theft Auto: Vice City Stories
http://www.wikidata.org/entity/Q153070,Fortress,action role-playing game,Square Enix,,,Fortress (cancelled video game)
http://www.wikidata.org/entity/Q153423,The Incredible Hulk: Ultimate Destruction,action-adventure game,Sierra Entertainment,,,The Incredible Hulk: Ultimate Destruction
http://www.wikidata.org/entity/Q153423,The Incredible Hulk: Ultimate Destruction,open world,Sierra Entertainment,,,The Incredible Hulk: Ultimate Destruction
http://www.wikidata.org/entity/Q153547,The Incredible Hulk,action-adventure game,Sega,Teen,,The Incredible Hulk (2008 video game)
http://www.wikidata.org/entity/Q153547,The Incredible Hulk,open world,Sega,Teen,,The Incredible Hulk (2008 video game)
http://www.wikidata.org/entity/Q153602,The Incredible Hulk: The Pantheon Saga,platform game,Eidos Interactive,Kids to Adults,,The Incredible Hulk: The Pantheon Saga
http://www.wikidata.org/entity/Q154090,The Temple of Elemental Evil,role-playing video game,Atari,Teen,,The Temple of Elemental Evil (video game)
http://www.wikidata.org/entity/Q154090,The Temple of Elemental Evil,video game with LGBT character,Atari,Teen,,The Temple of Elemental Evil (video game)
http://www.wikidata.org/entity/Q154090,The Temple of Elemental Evil,role-playing video game,Akella,Teen,,The Temple of Elemental Evil (video game)
http://www.wikidata.org/entity/Q154090,The Temple of Elemental Evil,video game with LGBT character,Akella,Teen,,The Temple of Elemental Evil (video game)
http://www.wikidata.org/entity/Q161188,007: Nightfire,first-person shooter,Electronic Arts,Teen,007 Nightfire,James Bond 007: Nightfire
http://www.wikidata.org/entity/Q161192,007 Legends,first-person shooter,"Activision Publishing, Inc.",,,007 Legends
http://www.wikidata.org/entity/Q161202,007: Everything or Nothing,third-person shooter,Electronic Arts,Teen,,James Bond 007: Everything or Nothing
http://www.wikidata.org/entity/Q161234,0 A.D.,real-time strategy,Wildfire Games,,"0 AD, 0AD",0 A.D. (video game)
http://www.wikidata.org/entity/Q214232,Final Fantasy VII,role-playing video game,Square Enix,Teen,"FF7, FFVII, Final Fantasy 7, Final Fantasy Seven",Final Fantasy VII
http://www.wikidata.org/entity/Q214232,Final Fantasy VII,role-playing video game,Square,Teen,"FF7, FFVII, Final Fantasy 7, Final Fantasy Seven",Final Fantasy VII
