id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name,article
http://www.wikidata.org/entity/Q634765,Deer Hunter,first-person shooter,Atari,,,Deer Hunter (series),https://en.wikipedia.org/wiki/Deer_Hunter_(series)
http://www.wikidata.org/entity/Q635004,Ishar,,,,,Ishar,https://en.wikipedia.org/wiki/Ishar
http://www.wikidata.org/entity/Q636707,Metal Slug,shoot 'em up,SNK,,,Metal Slug,https://en.wikipedia.org/wiki/Metal_Slug
http://www.wikidata.org/entity/Q644449,Comanche,simulation video game,,,,Comanche (video game series),https://en.wikipedia.org/wiki/Comanche_(video_game_series)
http://www.wikidata.org/entity/Q1142364,Nobunaga's Ambition,tactical role-playing game,Koei,,,Nobunaga's Ambition,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition
http://www.wikidata.org/entity/Q1142364,Nobunaga's Ambition,simulation video game,Koei,,,Nobunaga's Ambition,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition
http://www.wikidata.org/entity/Q1142364,Nobunaga's Ambition,turn-based strategy video game,Koei,,,Nobunaga's Ambition,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition
http://www.wikidata.org/entity/Q1142364,Nobunaga's Ambition,computer wargame,Koei,,,Nobunaga's Ambition,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition
http://www.wikidata.org/entity/Q1142364,Nobunaga's Ambition,grand strategy wargame,Koei,,,Nobunaga's Ambition,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition
http://www.wikidata.org/entity/Q1146042,Bishi Bashi,,,,,Bishi Bashi,https://en.wikipedia.org/wiki/Bishi_Bashi
http://www.wikidata.org/entity/Q1148226,Nintendo Mini Classics,,,,,Nintendo Mini Classics,https://en.wikipedia.org/wiki/Nintendo_Mini_Classics
http://www.wikidata.org/entity/Q1151214,Taisen Puzzle-Dama,,,,,Taisen Puzzle-Dama,https://en.wikipedia.org/wiki/Taisen_Puzzle-Dama
http://www.wikidata.org/entity/Q1151721,Power Instinct,fighting game,Atlus,,,Power Instinct,https://en.wikipedia.org/wiki/Power_Instinct
http://www.wikidata.org/entity/Q1151721,Power Instinct,fighting game,Excite,,,Power Instinct,https://en.wikipedia.org/wiki/Power_Instinct
http://www.wikidata.org/entity/Q1161804,King's Quest,adventure game,IBM,,,King's Quest,https://en.wikipedia.org/wiki/King%27s_Quest
http://www.wikidata.org/entity/Q1163239,The Settlers,real-time strategy,Ubisoft,,,The Settlers,https://en.wikipedia.org/wiki/The_Settlers
http://www.wikidata.org/entity/Q1163239,The Settlers,city-building game,Ubisoft,,,The Settlers,https://en.wikipedia.org/wiki/The_Settlers
