id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name,article
http://www.wikidata.org/entity/Q94640,Grand Theft Auto: Vice City Stories,,,,"Grand Theft Auto VCS, Grand Theft Auto: VCS, GTA VCS, GTA Vice City Stories, GTA: VCS, GTA: Vice City Stories",Grand Theft Auto: Vice City Stories,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Vice_City_Stories
http://www.wikidata.org/entity/Q94501,Grand Theft Auto,,,,"GTA, Grand Theft Auto 1, GTA 1",Grand Theft Auto (video game),https://en.wikipedia.org/wiki/Grand_Theft_Auto_(video_game)
http://www.wikidata.org/entity/Q12384,Donkey Kong,,,,,Donkey Kong (video game),https://en.wikipedia.org/wiki/Donkey_Kong_(video_game)
http://www.wikidata.org/entity/Q12384,Donkey Kong,,,,,Donkey Kong (video game),https://en.wikipedia.org/wiki/Donkey_Kong_(video_game)
http://www.wikidata.org/entity/Q59154,Mafia II,,,,,Mafia II,https://en.wikipedia.org/wiki/Mafia_II
http://www.wikidata.org/entity/Q55673,R-Type,,,,,R-Type,https://en.wikipedia.org/wiki/R-Type
http://www.wikidata.org/entity/Q56939,Mega Man X: Command Mission,,,,,Mega Man X: Command Mission,https://en.wikipedia.org/wiki/Mega_Man_X:_Command_Mission
http://www.wikidata.org/entity/Q55610,Athena,,,,,Athena (video game),https://en.wikipedia.org/wiki/Athena_(video_game)
http://www.wikidata.org/entity/Q57270,BioShock,,,,,BioShock,https://en.wikipedia.org/wiki/BioShock
http://www.wikidata.org/entity/Q94671,Grand Theft Auto: Vice City,,,,GTA VC,Grand Theft Auto: Vice City,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Vice_City
http://www.wikidata.org/entity/Q94778,Grand Theft Auto: Liberty City Stories,,,,"GTA LCS, GTA: LCS, GTA:LCS",Grand Theft Auto: Liberty City Stories,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Liberty_City_Stories
http://www.wikidata.org/entity/Q150146,Fire Emblem: Shadow Dragon and the Blade of Light,,,,,Fire Emblem: Shadow Dragon and the Blade of Light,https://en.wikipedia.org/wiki/Fire_Emblem:_Shadow_Dragon_and_the_Blade_of_Light
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III,,,,"GTA 3, GTA III",Grand Theft Auto III,https://en.wikipedia.org/wiki/Grand_Theft_Auto_III
http://www.wikidata.org/entity/Q149998,Paper Mario,,,,"Mario Story, Super Mario RPG 2",Paper Mario,https://en.wikipedia.org/wiki/Paper_Mario
http://www.wikidata.org/entity/Q147789,Dizzy – The Ultimate Cartoon Adventure,,,,,Dizzy – The Ultimate Cartoon Adventure,https://en.wikipedia.org/wiki/Dizzy_%E2%80%93_The_Ultimate_Cartoon_Adventure
http://www.wikidata.org/entity/Q100096,Mega Man X2,,,,,Mega Man X2,https://en.wikipedia.org/wiki/Mega_Man_X2
http://www.wikidata.org/entity/Q94797,Grand Theft Auto IV,,,,"GTA 4, GTA IV",Grand Theft Auto IV,https://en.wikipedia.org/wiki/Grand_Theft_Auto_IV
http://www.wikidata.org/entity/Q100042,Blasteroids,,,,,Blasteroids,https://en.wikipedia.org/wiki/Blasteroids
http://www.wikidata.org/entity/Q94871,Grand Theft Auto: Chinatown Wars,,,,"GTA Chinatown Wars, GTA CW, GTA: CW",Grand Theft Auto: Chinatown Wars,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Chinatown_Wars
http://www.wikidata.org/entity/Q71932,Call of Duty: Black Ops: Declassified,,,,,Call of Duty: Black Ops: Declassified,https://en.wikipedia.org/wiki/Call_of_Duty:_Black_Ops:_Declassified
http://www.wikidata.org/entity/Q60102,Fallout,,,,Fallout: A Post Nuclear Role Playing Game,Fallout (video game),https://en.wikipedia.org/wiki/Fallout_(video_game)
http://www.wikidata.org/entity/Q71936,Wii Sports,,,,,Wii Sports,https://en.wikipedia.org/wiki/Wii_Sports
http://www.wikidata.org/entity/Q71936,Wii Sports,,,,,Wii Sports,https://en.wikipedia.org/wiki/Wii_Sports
http://www.wikidata.org/entity/Q210298,Call of Duty 2,,,,COD2,Call of Duty 2,https://en.wikipedia.org/wiki/Call_of_Duty_2
http://www.wikidata.org/entity/Q210844,Spore,,,,,Spore (2008 video game),https://en.wikipedia.org/wiki/Spore_(2008_video_game)
http://www.wikidata.org/entity/Q210275,Destiny,,,,"Destiny the game, Destiny the video game",Destiny (video game),https://en.wikipedia.org/wiki/Destiny_(video_game)
http://www.wikidata.org/entity/Q13699,Stronghold: Crusader Extreme,,,,,Stronghold: Crusader Extreme,https://en.wikipedia.org/wiki/Stronghold:_Crusader_Extreme
http://www.wikidata.org/entity/Q17146,Uncharted 2: Among Thieves,,,,,Uncharted 2: Among Thieves,https://en.wikipedia.org/wiki/Uncharted_2:_Among_Thieves
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,,,,The Hyrule Fantasy,The Legend of Zelda (video game),https://en.wikipedia.org/wiki/The_Legend_of_Zelda_(video_game)
http://www.wikidata.org/entity/Q17138,Uncharted 3: Drake's Deception,,,,,Uncharted 3: Drake's Deception,https://en.wikipedia.org/wiki/Uncharted_3:_Drake%27s_Deception
http://www.wikidata.org/entity/Q128291,Anno 2070,,,,,Anno 2070,https://en.wikipedia.org/wiki/Anno_2070
http://www.wikidata.org/entity/Q116578,Guitar Hero,,,,,Guitar Hero (video game),https://en.wikipedia.org/wiki/Guitar_Hero_(video_game)
http://www.wikidata.org/entity/Q129000,Banjo-Kazooie,,,,Banjo Kazooie,Banjo-Kazooie,https://en.wikipedia.org/wiki/Banjo-Kazooie
http://www.wikidata.org/entity/Q117859,Trine,,,,,Trine (video game),https://en.wikipedia.org/wiki/Trine_(video_game)
http://www.wikidata.org/entity/Q115571,Memories Off 6: T-wave,,,,,Memories Off 6: T-wave,https://en.wikipedia.org/wiki/Memories_Off_6:_T-wave
http://www.wikidata.org/entity/Q115529,Memories Off: Yubikiri no Kioku,,,,,Memories Off: Yubikiri no Kioku,https://en.wikipedia.org/wiki/Memories_Off:_Yubikiri_no_Kioku
http://www.wikidata.org/entity/Q129277,Hitman: Absolution,,,,,Hitman: Absolution,https://en.wikipedia.org/wiki/Hitman:_Absolution
